TYPE; FULLCODE; STATE; COUNTY; TRACT; SHEETS,COUNTY_NAME,,,,
TRACT;06001437600;06;001;4376.00;1,ALAMEDA,,,,
TRACT;06001437701;06;001;4377.01;1,ALAMEDA,,,,
TRACT;06001437702;06;001;4377.02;1,ALAMEDA,,,,
TRACT;06001437800;06;001;4378.00;1,ALAMEDA,,,,
TRACT;06001437900;06;001;4379.00;1,ALAMEDA,,,,
TRACT;06001438000;06;001;4380.00;1,ALAMEDA,,,,
TRACT;06001438100;06;001;4381.00;1,ALAMEDA,,,,
TRACT;06001438201;06;001;4382.01;1,ALAMEDA,,,,
TRACT;06001438203;06;001;4382.03;1,ALAMEDA,,,,
TRACT;06001438204;06;001;4382.04;1,ALAMEDA,,,,
TRACT;06001438300;06;001;4383.00;1,ALAMEDA,,,,
TRACT;06001438400;06;001;4384.00;1,ALAMEDA,,,,
TRACT;06001440100;06;001;4401.00;1,ALAMEDA,,,,
TRACT;06001440200;06;001;4402.00;1,ALAMEDA,,,,
TRACT;06001440301;06;001;4403.01;1,ALAMEDA,,,,
TRACT;06001440304;06;001;4403.04;1,ALAMEDA,,,,
TRACT;06001440305;06;001;4403.05;1,ALAMEDA,,,,
TRACT;06001440306;06;001;4403.06;1,ALAMEDA,,,,
TRACT;06001440307;06;001;4403.07;1,ALAMEDA,,,,
TRACT;06001440308;06;001;4403.08;1,ALAMEDA,,,,
TRACT;06001440331;06;001;4403.31;1,ALAMEDA,,,,
TRACT;06001440332;06;001;4403.32;1,ALAMEDA,,,,
TRACT;06001440333;06;001;4403.33;1,ALAMEDA,,,,
TRACT;06001440334;06;001;4403.34;1,ALAMEDA,,,,
TRACT;06001440336;06;001;4403.36;1,ALAMEDA,,,,
TRACT;06001440337;06;001;4403.37;1,ALAMEDA,,,,
TRACT;06001440338;06;001;4403.38;1,ALAMEDA,,,,
TRACT;06001441100;06;001;4411.00;1,ALAMEDA,,,,
TRACT;06001441200;06;001;4412.00;1,ALAMEDA,,,,
TRACT;06001441301;06;001;4413.01;1,ALAMEDA,,,,
TRACT;06001441302;06;001;4413.02;1,ALAMEDA,,,,
TRACT;06001441401;06;001;4414.01;1,ALAMEDA,,,,
TRACT;06001441402;06;001;4414.02;1,ALAMEDA,,,,
TRACT;06001441501;06;001;4415.01;1,ALAMEDA,,,,
TRACT;06001441503;06;001;4415.03;1,ALAMEDA,,,,
TRACT;06001441521;06;001;4415.21;1,ALAMEDA,,,,
TRACT;06001441522;06;001;4415.22;1,ALAMEDA,,,,
TRACT;06001441523;06;001;4415.23;1,ALAMEDA,,,,
TRACT;06001441524;06;001;4415.24;1,ALAMEDA,,,,
TRACT;06001441525;06;001;4415.25;1,ALAMEDA,,,,
TRACT;06001441601;06;001;4416.01;1,ALAMEDA,,,,
TRACT;06001441602;06;001;4416.02;1,ALAMEDA,,,,
TRACT;06001441701;06;001;4417.01;1,ALAMEDA,,,,
TRACT;06001441702;06;001;4417.02;1,ALAMEDA,,,,
TRACT;06001441800;06;001;4418.00;1,ALAMEDA,,,,
TRACT;06001441921;06;001;4419.21;1,ALAMEDA,,,,
TRACT;06001441923;06;001;4419.23;1,ALAMEDA,,,,
TRACT;06001441924;06;001;4419.24;1,ALAMEDA,,,,
TRACT;06001441926;06;001;4419.26;1,ALAMEDA,,,,
TRACT;06001441927;06;001;4419.27;1,ALAMEDA,,,,
TRACT;06001441928;06;001;4419.28;1,ALAMEDA,,,,
TRACT;06001441929;06;001;4419.29;1,ALAMEDA,,,,
"TRACT;06001442000;06;001;4420.00;1,2",ALAMEDA,,,,
TRACT;06001442100;06;001;4421.00;1,ALAMEDA,,,,
TRACT;06001442200;06;001;4422.00;1,ALAMEDA,,,,
TRACT;06001442301;06;001;4423.01;1,ALAMEDA,,,,
TRACT;06001442302;06;001;4423.02;1,ALAMEDA,,,,
TRACT;06001442400;06;001;4424.00;1,ALAMEDA,,,,
TRACT;06001442501;06;001;4425.01;1,ALAMEDA,,,,
TRACT;06001442502;06;001;4425.02;1,ALAMEDA,,,,
TRACT;06001442601;06;001;4426.01;1,ALAMEDA,,,,
TRACT;06001442602;06;001;4426.02;1,ALAMEDA,,,,
TRACT;06001442700;06;001;4427.00;1,ALAMEDA,,,,
TRACT;06001442800;06;001;4428.00;1,ALAMEDA,,,,
TRACT;06001442900;06;001;4429.00;1,ALAMEDA,,,,
TRACT;06001443001;06;001;4430.01;1,ALAMEDA,,,,
TRACT;06001443002;06;001;4430.02;1,ALAMEDA,,,,
TRACT;06001443102;06;001;4431.02;1,ALAMEDA,,,,
"TRACT;06001443103;06;001;4431.03;1,2",ALAMEDA,,,,
TRACT;06001443104;06;001;4431.04;1,ALAMEDA,,,,
TRACT;06001443105;06;001;4431.05;1,ALAMEDA,,,,
"TRACT;06001443200;06;001;4432.00;1,2",ALAMEDA,,,,
"TRACT;06001443301;06;001;4433.01;1,2",ALAMEDA,,,,
TRACT;06001443321;06;001;4433.21;1,ALAMEDA,,,,
TRACT;06001443322;06;001;4433.22;1,ALAMEDA,,,,
